Reference_Year,LGA,WRRG,landFill,recyclingTotal,recyclingProcessed,gardenTotal,gardenProcessed,wasteTotal,wasteProcessed,Estimated_Adult_Population
2008-2009,Melbourne,Metropolitan ,22115,5367.4102,4830.6699,34.27,34.27,27516.6802,4864.9399,93573
2008-2009,Melton,Metropolitan ,17421.1602,9551.3203,8787.3203,2788.75,2788.75,29761.2305,11576.0703,99718
2008-2009,Mildura,Loddon Mallee ,9466.2402,5071.1699,3778.3899,0,0,14537.4101,3778.3899,52781
2008-2009,Mitchell,Goulburn Valley ,5387,3337,2997,0,0,8724,2997,35044
2008-2009,Moira,Goulburn Valley ,4421,3208.8799,2791.8401,0,0,7629.8799,2791.8401,28861
2008-2009,Monash,Metropolitan ,25974,18322,18018,17463,17463,61759,35481,173886
2008-2009,Moonee Valley,Metropolitan ,22354,12149,10837,6270,6270,40773,17107,108509
2008-2009,Moorabool,Grampians Central West ,4268,2649.5,2534.28,0,0,6917.5,2534.28,27620
2008-2009,Moreland,Metropolitan ,28317,16376,14902,6173,6173,50866,21075,146195
2008-2009,Mornington Peninsula,Metropolitan ,25800,22678,20410,267,267,48745,20677,145367
2008-2009,Mount Alexander,Loddon Mallee ,2682,1978.6899,1879.76,0,0,4660.6899,1879.76,18397
2008-2009,Moyne,Barwon South West ,1752.6899,799.67,787.52,1100,0,3652.3599,787.52,16307
2008-2009,Murrindindi,Goulburn Valley ,2133,1489,1430,0,0,3622,1430,14259
2008-2009,Nillumbik,Metropolitan ,7066.52,8102.8999,7454.6699,6113.6201,2998.0601,21283.04,10452.73,62979
2008-2009,Northern Grampians,Grampians Central West ,2877,1291.452,1076.21,0,0,4168.452,1076.21,12129
2008-2009,Port Phillip,Metropolitan ,19755.9609,12402,11335,0,0,32157.9609,11335,94747
2008-2009,Pyrenees,Grampians Central West ,970,435.28,396,0,0,1405.28,396,6975
2008-2009,Queenscliffe,Barwon South West ,1300,527.88,504.13,140,140,1967.88,644.13,3153
2008-2009,South Gippsland,Gippsland ,3720.98,1797,1714.34,0,0,5517.98,1714.34,27182
2008-2009,Southern Grampians,Barwon South West ,2040,1391,1336,0,0,3431,1336,17285
2008-2009,Stonnington,Metropolitan ,22684,12513,12086,3044,3044,38241,15130,97766
2008-2009,Strathbogie,Goulburn Valley ,1600.28,911,848,0,0,2511.28,848,9750
2008-2009,Surf Coast,Barwon South West ,4047,3919.78,3619.96,1841,1841,9807.78,5460.96,24567
2008-2009,Swan Hill,Loddon Mallee ,3957.6699,4590.8501,4057.04,0,0,8548.52,4057.04,21534
2008-2009,Towong,North East ,1428,814.5,705.8,22.5,22.5,2265,728.3,6263
2008-2009,Wangaratta,North East ,7226.5,2822,2474,0,0,10048.5,2474,27861
2008-2009,Warrnambool,Barwon South West ,5521.0698,4117.2002,3540.7,0,0,9638.27,3540.7,32596
2008-2009,Wellington,Gippsland ,6374,3614.3201,2819.1699,0,0,9988.3201,2819.1699,42426
2008-2009,West Wimmera,Grampians Central West ,996.1,459,452.7,0,0,1455.1,452.7,4455
2008-2009,Whitehorse,Metropolitan ,29531,19106,18342,7315,7315,55952,25657,154061
2008-2009,Whittlesea,Metropolitan ,29931.1504,14495.96,12918.5195,6265.3399,6265.3399,50692.4503,19183.8594,147843
2008-2009,Wodonga,North East ,7122,3303.8999,2981.7,1258,1258,11683.8999,4239.7,36240
2008-2009,Wyndham,Metropolitan ,27872,15212,14056,2604,2604,45688,16660,143056
2008-2009,Yarra,Metropolitan ,12515,9314,8518,188,188,22017,8706,76223
2008-2009,Yarra Ranges,Metropolitan ,26668,17144.4004,14782.5,4537,4537,48349.4004,19319.5,146992
2008-2009,Yarriambiack,Grampians Central West ,1883.52,643.7,632.2,0,0,2527.22,632.2,7753
2009-2010,Alpine,North East ,2304,1627,1181.2,0,0,3931,1181.2,10311
2009-2010,Ararat,Grampians Central West ,1963,905,814,0,0,2868,814,9288
2009-2010,Ballarat,Grampians Central West ,19119,9742.5996,8814.5996,0,0,28861.5996,8814.5996,72268
2009-2010,Banyule,Metropolitan ,19900,15220,13919,9681,9681,44801,23600,96494
2009-2010,Bass Coast,Gippsland ,6675,4335,3485,0,0,11010,3485,24698
2009-2010,Baw Baw,Gippsland ,6684.4468,4091.78,3754.75,2952.28,2952.28,13728.5068,6707.03,31015
2009-2010,Bayside,Metropolitan ,19300,13408,13408,8021,8021,40729,21429,72255
2009-2010,Benalla,North East ,3558.29,1548.66,1378,0,0,5106.95,1378,11194
2009-2010,Boroondara,Metropolitan ,35899,23382.4004,23382.4004,15646.2,15646.2,74927.6004,39028.6004,131281
2009-2010,Brimbank,Metropolitan ,38896,17492,15043,6512,6512,62900,21555,137542
2009-2010,Buloke,Loddon Mallee ,1507.86,634.38,602.86,0,0,2142.24,602.86,5281
2009-2010,Campaspe,Goulburn Valley ,8617,4308,3828,997,997,13922,4825,29339
2009-2010,Cardinia,Metropolitan ,14835.2598,5764.3799,4521.2402,3886,3886,24485.6397,8407.2402,53917
2009-2010,Casey,Metropolitan ,46000,26298,22749,28207.4102,28207,100505.4102,50956,190745
2009-2010,Central Goldfields,Grampians Central West ,2365,1395.6,1325.8,100,100,3860.6,1425.8,10149
2009-2010,Colac-Otway,Barwon South West ,5224,2623.98,2454.6101,1200,858,9047.98,3312.6101,16566
2009-2010,Corangamite,Barwon South West ,2174,1191,1084.08,1573,1573,4938,2657.08,13168
2009-2010,Darebin,Metropolitan ,25990,16172,13633.2998,8888,8888,51050,22521.2998,112340
2009-2010,East Gippsland,Gippsland ,6642.3501,5815.52,4387.6201,3455.6499,3455.6499,15913.52,7843.27,34633
2009-2010,Frankston,Metropolitan ,22560.2207,16392.4805,14795.8604,9715.1396,9715.1396,48667.8408,24511,98724
2009-2010,Gannawarra,Loddon Mallee ,2397,1340,1340,0,0,3737,1340,9025
2009-2010,Glen Eira,Metropolitan ,34191.7383,13916.1504,13498.6699,4119.6,4119.6,52227.4887,17618.2699,105228
2009-2010,Glenelg,Barwon South West ,2947,2057.25,1353.8,0,0,5004.25,1353.8,16196
2009-2010,Golden Plains,Grampians Central West ,4838,1126,1015,0,0,5964,1015,13510
2009-2010,Greater Bendigo,Loddon Mallee ,26122,10528,9629,0,0,36650,9629,79118
2009-2010,Greater Dandenong,Metropolitan ,27467,12611,12483,15394,14161,55472,26644,104882
2009-2010,Greater Geelong,Barwon South West ,39500,28156,25903,30962,30962,98618,56865,168250
2009-2010,Greater Shepparton,Goulburn Valley ,12572,6751.6099,6751.6099,5484,5270,24807.6099,12021.6099,46553
2009-2010,Hepburn,Grampians Central West ,2040,1636,1451,0,0,3676,1451,11729
2009-2010,Hindmarsh,Grampians Central West ,1452,704.232,687.21,0,0,2156.232,687.21,4675
2009-2010,Hobsons Bay,Metropolitan ,17530.2793,10591.4502,10263.4502,4701.3999,4701.3999,32823.1294,14964.8501,68203
2009-2010,Horsham,Grampians Central West ,5346,1495,1163,0,0,6841,1163,14932
2009-2010,Hume,Metropolitan ,35200,15964.5996,13863.5,4535,4535,55699.5996,18398.5,127941
2009-2010,Indigo,North East ,2926,1038.5,1038.5,416,416,4380.5,1454.5,12203
2009-2010,Kingston,Metropolitan ,26487,17103.4004,16248.2002,13653.4004,13653.4004,57243.8008,29901.6006,114841
2009-2010,Knox,Metropolitan ,26454,17367,16420,17824.0003,17824.0003,61645.0003,34244.0003,119697
2009-2010,Latrobe,Gippsland ,13474,8754,7594,9866,9866,32094,17460,55596
2009-2010,Loddon,Loddon Mallee ,1208,679,679,0,0,1887,679,6295
2009-2010,Macedon Ranges,Loddon Mallee ,6934,4460.5,4014.3999,0,0,11394.5,4014.3999,31226
2009-2010,Manningham,Metropolitan ,21576,13015.3604,13015.3604,14485.4297,14485.4297,49076.7901,27500.7901,94372
2009-2010,Mansfield,North East ,2406.72,1023.07,901.44,0,0,3429.79,901.44,6291
2009-2010,Maribyrnong,Metropolitan ,22000,8185,6467,1200,1100,31385,7567,56966
2009-2010,Maroondah,Metropolitan ,19371,13044,12352,12125,12125,44540,24477,81774
2009-2010,Melbourne,Metropolitan ,23146,6866.4302,6184,40.06,40.06,30052.4902,6224.06,89470
2009-2010,Melton,Metropolitan ,19059.6191,10191.1396,9243.3604,3859.6001,3556.78,33110.3588,12800.1404,76373
2009-2010,Mildura,Loddon Mallee ,9783,6528.3799,5436,0,0,16311.3799,5436,39627
2009-2010,Mitchell,Goulburn Valley ,5336,3221.5601,3005.9399,0,0,8557.5601,3005.9399,26030
2009-2010,Moira,Goulburn Valley ,7000,3441.3899,3441.3899,0,0,10441.3899,3441.3899,22551
2009-2010,Monash,Metropolitan ,26566,18509,18509,20334,20334,65409,38843,142565
2009-2010,Moonee Valley,Metropolitan ,22004,13792,12412,6849,6849,42645,19261,87672
2009-2010,Moorabool,Grampians Central West ,3022,2780.76,2669.53,0,0,5802.76,2669.53,20778
2009-2010,Moreland,Metropolitan ,28139,16447.6094,16447.6094,7571,7571,52157.6094,24018.6094,119398
2009-2010,Mornington Peninsula,Metropolitan ,27168,22958,22958,319,319,50445,23277,115043
2009-2010,Mount Alexander,Loddon Mallee ,3104.7,1584.25,1505.03,0,0,4688.95,1505.03,14734
2009-2010,Moyne,Barwon South West ,1529.25,886,806,1180,0,3595.25,806,12263
2009-2010,Murrindindi,Goulburn Valley ,2113,1403,1371,0,0,3516,1371,11200
2009-2010,Nillumbik,Metropolitan ,6362.2798,7757.3501,7136,6616.7598,0,20736.3897,7136,47182
2009-2010,Northern Grampians,Grampians Central West ,3004.75,914,822,0,0,3918.75,822,9462
2009-2010,Port Phillip,Metropolitan ,20104,12717,12373,0,0,32821,12373,85730
2009-2010,Pyrenees,Grampians Central West ,808,450,400,0,0,1258,400,5590
2009-2010,Queenscliffe,Barwon South West ,1300,550.64,550.64,70,70,1920.64,620.64,2640
2009-2010,South Gippsland,Gippsland ,3938.5,1819.5699,1674,0,0,5758.0699,1674,21206
2009-2010,Southern Grampians,Barwon South West ,2066,1544,1471,0,0,3610,1471,13292
2009-2010,Stonnington,Metropolitan ,21233,12506,12010,3441,3441,37180,15451,83346
2009-2010,Strathbogie,Goulburn Valley ,1840,1030.38,1030.38,0,0,2870.38,1030.38,7924
2009-2010,Surf Coast,Barwon South West ,5097.9399,4032,4032,2515.8,2515.8,11645.7399,6547.8,19129
2009-2010,Swan Hill,Loddon Mallee ,3714.99,1853,1713,0,0,5567.99,1713,16385
2009-2010,Towong,North East ,1260,784.5,618.3,30,30,2074.5,648.3,4914
2009-2010,Wangaratta,North East ,6527.5,3044,2739,0,0,9571.5,2739,21507
2009-2010,Warrnambool,Barwon South West ,6022,4099,3525,0,0,10121,3525,24990
2009-2010,Wellington,Gippsland ,6277.3301,4309.6699,3434.3799,0,0,10587,3434.3799,33026
2009-2010,West Wimmera,Grampians Central West ,960.2,485.96,482.31,0,0,1446.16,482.31,3416
